date,usd,eur
2023-05-16,25.4891,27.6951816
2023-05-15,25.435,27.62876875
2023-05-12,25.3484,27.67538312
2023-05-11,25.1791,27.62726389
2023-05-10,25.1236,27.53295324
2023-05-09,25.0395,27.58726912
2023-05-08,25.0577,27.58802654
2023-05-05,25.0299,27.52563132
2023-05-04,24.8725,27.49928472
2023-05-03,24.8156,27.26217
2023-05-02,24.7503,27.31888613
2023-04-28,24.7304,27.23138535
2023-04-27,24.632,27.20382712
2023-04-26,24.6533,27.062667
2023-04-25,24.6147,27.15272171
2023-04-24,24.6484,27.051619
2023-04-21,24.5766,26.95954713
2023-04-20,24.5633,26.92555256
2023-04-18,24.5612,26.82623386
2023-04-17,24.5739,27.04800025
2023-04-14,24.5419,27.11143693
2023-04-13,24.4879,26.86861363
2023-04-12,24.4734,26.70659775
2023-04-11,24.3921,26.45567166
2023-04-10,24.4879,26.71605402
2023-04-05,24.4414,26.81099373
2023-04-04,24.4897,26.67467103
2023-04-03,24.5256,26.64608337
2023-03-31,24.4968,26.74193172
2023-03-30,24.4874,26.56417639
2023-03-29,24.4151,26.45009858
2023-03-28,24.3917,26.29961877
2023-03-27,24.4016,26.21634699
2023-03-24,24.3093,26.48425307
2023-03-23,24.2039,26.11842849
2023-03-22,24.2415,26.12167074
2023-03-21,24.2197,25.97514385
2023-03-20,24.2034,25.74757692
2023-03-17,24.1258,25.58372209
2023-03-16,24.0677,25.37890829
2023-03-15,24.0003,25.72760159
2023-03-14,24.1182,25.86194586
2023-03-13,24.1459,25.64849935
2023-03-10,24.135,25.54231185
2023-03-09,24.1694,25.54778088
2023-03-08,24.1557,25.71422576
2023-03-07,24.274,25.90958212
2023-03-06,24.3168,25.79210025
2023-03-03,24.357,25.8062415
2023-03-02,24.3571,25.92740223
2023-03-01,24.3609,25.87639158
2023-02-28,24.3635,25.81459006
2023-02-27,24.4163,25.74503504
2023-02-24,24.3708,25.86692341
2023-02-23,24.3914,25.96001093
2023-02-22,24.4014,25.99920367
2023-02-17,24.3874,25.98989605
2023-02-16,24.3652,26.01423673
2023-02-15,24.3431,26.19707049
2023-02-14,24.2531,25.91419481
2023-02-13,24.2,25.90247
2023-02-10,24.1985,26.05016922
2023-02-09,23.8095,25.54378398
2023-02-08,23.6127,25.20018182
2023-02-07,23.1487,24.89874172
2023-02-06,22.9062,24.76412188
2023-02-03,22.6808,24.77695953
2023-02-02,22.4381,24.45595833
2023-02-01,22.3737,24.26450138
2023-01-31,21.9512,23.90222265
2023-01-30,21.9689,23.87711865
2023-01-27,21.7271,23.69101256
2023-01-26,21.3189,23.23099214
2023-01-25,21.1744,22.99666886
2023-01-24,20.734,22.5026102
2023-01-23,20.5272,22.25251116
2023-01-20,20.2948,21.92284885
2023-01-19,19.9845,21.71535754
2023-01-18,19.9725,21.6933306
2023-01-17,19.6638,21.27996772
2023-01-16,19.452,21.06962832
2023-01-13,19.2784,20.76437907
2023-01-12,19.0531,20.48474993
2023-01-11,18.8092,20.20427836
2023-01-10,18.6138,19.55100483
2023-01-06,18.3946,19.39949699
2023-01-05,17.9442,19.03179796
2023-01-04,17.8643,18.91025476
